corridor,indicator,split,window,params,feasible,n_feasible,fitted
AMD,ml_localmin,7,2024-07…2024-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0003, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
AMD,momentum,8,2025-01…2025-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}",True,4.0,
AMD,level,8,2025-01…2025-06,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 25, ""_score"": 1.2999}",True,25.0,
AMD,reversal,8,2025-01…2025-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0829}",True,4.0,
AMD,seasonality,8,2025-01…2025-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 0.9802}",True,8.0,
AMD,dip_vs_trend,8,2025-01…2025-06,"{""span"": 80, ""window"": 120, ""pct"": 0.15, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.3442}",True,8.0,
AMD,ml_localmin,8,2025-01…2025-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 0.802}",,,True
AMD,momentum,9,2025-07…2025-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
AMD,level,9,2025-07…2025-12,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.3168}",True,30.0,
AMD,reversal,9,2025-07…2025-12,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9917}",True,4.0,
AMD,seasonality,9,2025-07…2025-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0547}",True,8.0,
AMD,dip_vs_trend,9,2025-07…2025-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 11, ""_score"": 1.3694}",True,11.0,
AMD,ml_localmin,9,2025-07…2025-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0511, ""_fitted"": true, ""_pos_rate_val"": 0.259}",,,True
AMD,momentum,10,2026-01…2026-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9685}",True,4.0,
AMD,level,10,2026-01…2026-06,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.3168}",True,31.0,
AMD,reversal,10,2026-01…2026-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0156}",True,4.0,
AMD,seasonality,10,2026-01…2026-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 0.9952}",True,8.0,
AMD,dip_vs_trend,10,2026-01…2026-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.2686}",True,10.0,
AMD,ml_localmin,10,2026-01…2026-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0499, ""_fitted"": true, ""_pos_rate_val"": 0.263}",,,True
KZT,momentum,0,2021-01…2021-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}",True,4.0,
KZT,level,0,2021-01…2021-06,"{""window"": 60, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 22, ""_score"": 1.4296}",True,22.0,
KZT,reversal,0,2021-01…2021-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.4195}",True,4.0,
KZT,seasonality,0,2021-01…2021-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.1291}",True,6.0,
KZT,dip_vs_trend,0,2021-01…2021-06,"{""span"": 80, ""window"": 120, ""pct"": 0.1, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 12, ""_score"": 1.4296}",True,12.0,
KZT,ml_localmin,0,2021-01…2021-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 1.0, ""_fitted"": true, ""_pos_rate_val"": NaN}",,,True
KZT,momentum,1,2021-07…2021-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}",True,4.0,
KZT,level,1,2021-07…2021-12,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4878}",True,23.0,
KZT,reversal,1,2021-07…2021-12,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2512}",True,4.0,
KZT,seasonality,1,2021-07…2021-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 6, ""_score"": 1.1291}",True,6.0,
KZT,dip_vs_trend,1,2021-07…2021-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4456}",True,10.0,
KZT,ml_localmin,1,2021-07…2021-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
KZT,momentum,2,2022-01…2022-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0053}",True,4.0,
KZT,level,2,2022-01…2022-06,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 33, ""_score"": 1.4147}",True,33.0,
KZT,reversal,2,2022-01…2022-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 10, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 5, ""_score"": 1.3893}",True,5.0,
KZT,seasonality,2,2022-01…2022-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
KZT,dip_vs_trend,2,2022-01…2022-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.4538}",True,8.0,
KZT,ml_localmin,2,2022-01…2022-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0002, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
KZT,momentum,3,2022-07…2022-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}",True,4.0,
KZT,level,3,2022-07…2022-12,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 29, ""_score"": 1.4147}",True,29.0,
KZT,reversal,3,2022-07…2022-12,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.2869}",True,4.0,
KZT,seasonality,3,2022-07…2022-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
KZT,dip_vs_trend,3,2022-07…2022-12,"{""span"": 80, ""window"": 120, ""pct"": 0.1, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 13, ""_score"": 1.4161}",True,13.0,
KZT,ml_localmin,3,2022-07…2022-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0002, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
KZT,momentum,4,2023-01…2023-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0076}",True,4.0,
KZT,level,4,2023-01…2023-06,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 33, ""_score"": 1.4114}",True,33.0,
KZT,reversal,4,2023-01…2023-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1542}",True,4.0,
KZT,seasonality,4,2023-01…2023-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
KZT,dip_vs_trend,4,2023-01…2023-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4114}",True,10.0,
KZT,ml_localmin,4,2023-01…2023-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0254, ""_fitted"": true, ""_pos_rate_val"": 0.441}",,,True
KZT,momentum,5,2023-07…2023-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
KZT,level,5,2023-07…2023-12,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 26, ""_score"": 1.4114}",True,26.0,
KZT,reversal,5,2023-07…2023-12,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1542}",True,4.0,
KZT,seasonality,5,2023-07…2023-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
KZT,dip_vs_trend,5,2023-07…2023-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 7, ""_score"": 1.4114}",True,7.0,
KZT,ml_localmin,5,2023-07…2023-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0295, ""_fitted"": true, ""_pos_rate_val"": 0.407}",,,True
KZT,momentum,6,2024-01…2024-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
KZT,level,6,2024-01…2024-06,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 23, ""_score"": 1.4114}",True,23.0,
KZT,reversal,6,2024-01…2024-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1542}",True,4.0,
KZT,seasonality,6,2024-01…2024-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0319}",True,8.0,
KZT,dip_vs_trend,6,2024-01…2024-06,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.4114}",True,10.0,
KZT,ml_localmin,6,2024-01…2024-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.1275, ""_fitted"": true, ""_pos_rate_val"": 0.5}",,,True
KZT,momentum,7,2024-07…2024-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}",True,4.0,
KZT,level,7,2024-07…2024-12,"{""window"": 120, ""pct"": 0.2, ""stall_days"": 3, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 21, ""_score"": 1.3111}",True,21.0,
KZT,reversal,7,2024-07…2024-12,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.1542}",True,4.0,
KZT,seasonality,7,2024-07…2024-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 0.9802}",True,8.0,
KZT,dip_vs_trend,7,2024-07…2024-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.4}",True,8.0,
KZT,ml_localmin,7,2024-07…2024-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0003, ""_fitted"": true, ""_pos_rate_val"": 1.0}",,,True
KZT,momentum,8,2025-01…2025-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9885}",True,4.0,
KZT,level,8,2025-01…2025-06,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 25, ""_score"": 1.2999}",True,25.0,
KZT,reversal,8,2025-01…2025-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0829}",True,4.0,
KZT,seasonality,8,2025-01…2025-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 0.9802}",True,8.0,
KZT,dip_vs_trend,8,2025-01…2025-06,"{""span"": 80, ""window"": 120, ""pct"": 0.15, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.3442}",True,8.0,
KZT,ml_localmin,8,2025-01…2025-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0011, ""_fitted"": true, ""_pos_rate_val"": 0.802}",,,True
KZT,momentum,9,2025-07…2025-12,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.998}",True,4.0,
KZT,level,9,2025-07…2025-12,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 30, ""_score"": 1.3168}",True,30.0,
KZT,reversal,9,2025-07…2025-12,"{""window"": 60, ""rise_bps"": 30, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9917}",True,4.0,
KZT,seasonality,9,2025-07…2025-12,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 1.0547}",True,8.0,
KZT,dip_vs_trend,9,2025-07…2025-12,"{""span"": 80, ""window"": 250, ""pct"": 0.2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 11, ""_score"": 1.3694}",True,11.0,
KZT,ml_localmin,9,2025-07…2025-12,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0511, ""_fitted"": true, ""_pos_rate_val"": 0.259}",,,True
KZT,momentum,10,2026-01…2026-06,"{""n"": 2, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 0.9685}",True,4.0,
KZT,level,10,2026-01…2026-06,"{""window"": 250, ""pct"": 0.15, ""stall_days"": 0, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 31, ""_score"": 1.3168}",True,31.0,
KZT,reversal,10,2026-01…2026-06,"{""window"": 60, ""rise_bps"": 20, ""max_days_since_min"": 20, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 4, ""_score"": 1.0156}",True,4.0,
KZT,seasonality,10,2026-01…2026-06,"{""min_share"": 0.5, ""min_years"": 3, ""from_day"": 24, ""rearm"": 20, ""_feasible"": true, ""_n_feasible"": 8, ""_score"": 0.9952}",True,8.0,
KZT,dip_vs_trend,10,2026-01…2026-06,"{""span"": 80, ""window"": 250, ""pct"": 0.15, ""rearm"": 3, ""_feasible"": true, ""_n_feasible"": 10, ""_score"": 1.2686}",True,10.0,
KZT,ml_localmin,10,2026-01…2026-06,"{""h"": 10, ""tol_bps"": 10.0, ""gate_window"": 120, ""gate_pct"": 0.2, ""fp_cost"": 3.0, ""min_pos_rate"": 0.25, ""rearm"": 5, ""seed"": 0, ""threshold"": 0.0499, ""_fitted"": true, ""_pos_rate_val"": 0.263}",,,True
